episode,reward,success,epsilon,ep_avg_loss,buffer_size
1,-235.75999999999993,0,0.999,8.61181948525565,98
2,-196.43,0,0.998001,16.907320852463062,189
3,-253.45999999999992,0,0.997002999,19.499640846004088,285
4,-240.06999999999994,0,0.996005996001,19.158892289588326,380
5,-221.82,0,0.995009990004999,23.583891382876864,474
6,-210.00999999999993,0,0.994014980014994,17.608956215332967,572
7,-202.1400000000001,0,0.993020965034979,19.15521252932756,664
8,-199.79999999999987,0,0.9920279440699441,20.165959256951528,757
9,-238.7599999999998,0,0.9910359161258742,13.370002917407714,854
10,-211.56999999999994,0,0.9900448802097482,19.62758775478915,949
11,-156.61,0,0.9890548353295385,15.488268928966303,1036
12,-213.6199999999999,0,0.988065780494209,17.021559356347375,1128
13,-280.4699999999998,0,0.9870777147137147,16.41640277665395,1232
14,-291.9099999999998,0,0.986090636999001,16.924611014183437,1339
15,-172.07999999999998,0,0.9851045463620021,14.690108935723359,1426
16,-286.51000000000005,0,0.98411944181564,14.57249528169632,1530
17,-193.70999999999998,0,0.9831353223738244,15.569289964502273,1622
18,-177.55999999999995,0,0.9821521870514506,15.781582533635877,1710
19,-108.06999999999995,0,0.9811700348643991,12.437600076875903,1798
20,-182.35,0,0.9801888648295347,18.19985123759224,1882
21,-165.06999999999996,0,0.9792086759647052,18.91243756391916,1965
22,-238.0599999999999,0,0.9782294672887405,16.05076198031505,2061
23,-211.82,0,0.9772512378214517,17.01903595990605,2151
24,-199.92999999999986,0,0.9762739865836303,17.34614868317881,2244
25,-209.5499999999999,0,0.9752977125970467,14.879459122365171,2332
26,-329.06000000000006,0,0.9743224148844496,16.857718959032933,2439
27,-251.18999999999994,0,0.9733480924695651,12.375246360160336,2540
28,-151.78999999999996,0,0.9723747443770956,13.010972205982652,2626
29,-185.7499999999999,0,0.9714023696327185,14.428978018546372,2715
30,-296.3799999999999,0,0.9704309672630859,15.59133407334301,2822
31,-335.8199999999999,0,0.9694605362958227,8.692445730263332,2928
32,-200.87,0,0.9684910757595269,10.762996954194616,3017
33,-192.73999999999995,0,0.9675225846837673,12.106805978850884,3105
34,-207.37999999999994,0,0.9665550620990835,12.095177285294783,3200
35,-193.51999999999998,0,0.9655885070369844,10.411816542175995,3287
36,-185.65999999999997,0,0.9646229185299474,11.490679941898168,3373
37,-235.7300000000001,0,0.9636582956114175,8.178492617733935,3467
38,-87.4199999999999,0,0.9626946373158061,7.331648505805584,3556
39,-212.04000000000013,0,0.9617319426784903,13.555078299527757,3645
40,-242.98000000000008,0,0.9607702107358118,10.3853562438488,3745
41,-251.72999999999996,0,0.959809440525076,8.210412082741561,3848
