episode,reward,success,epsilon,ep_avg_loss,buffer_size
1,-535.52,0,0.999,nan,320
2,-557.56,0,0.998001,nan,662
3,-525.9700000000005,0,0.997002999,nan,983
4,-438.86000000000035,0,0.996005996001,nan,1297
5,-401.1200000000001,0,0.995009990004999,nan,1595
6,-512.6600000000003,0,0.994014980014994,nan,1919
7,-489.219999999999,0,0.993020965034979,nan,2237
8,-431.99999999999943,0,0.9920279440699441,nan,2550
9,-398.26,0,0.9910359161258742,nan,2848
10,-349.73,0,0.9900448802097482,nan,3142
11,-361.56000000000006,0,0.9890548353295385,nan,3442
12,-451.28999999999985,0,0.988065780494209,nan,3755
13,-485.3600000000007,0,0.9870777147137147,nan,4080
14,-396.5700000000002,0,0.986090636999001,nan,4387
15,-367.5400000000001,0,0.9851045463620021,nan,4689
16,-417.4899999999993,0,0.98411944181564,nan,4991
17,-386.85000000000036,0,0.9831353223738244,nan,5292
18,-433.22000000000037,0,0.9821521870514506,nan,5604
19,-422.97,0,0.9811700348643991,nan,5912
20,-552.7700000000003,0,0.9801888648295347,nan,6241
21,-414.7700000000001,0,0.9792086759647052,nan,6543
22,-597.4000000000002,0,0.9782294672887405,nan,6885
23,-478.42999999999967,0,0.9772512378214517,nan,7206
24,-436.10000000000025,0,0.9762739865836303,nan,7511
25,-453.1,0,0.9752977125970467,nan,7827
26,-536.6099999999998,0,0.9743224148844496,nan,8150
27,-372.51999999999987,0,0.9733480924695651,nan,8456
28,-415.0300000000001,0,0.9723747443770956,nan,8766
29,-452.77999999999975,0,0.9714023696327185,nan,9073
30,-452.44999999999965,0,0.9704309672630859,nan,9390
31,-490.97999999999956,0,0.9694605362958227,nan,9705
32,-427.2899999999994,0,0.9684910757595269,0.020997855626046658,10008
33,-499.4599999999996,0,0.9675225846837673,0.007871330738271353,10328
34,-408.39999999999975,0,0.9665550620990835,0.006293119823870559,10634
35,-491.98999999999984,0,0.9655885070369844,0.005602280465816737,10950
36,-402.04000000000013,0,0.9646229185299474,0.006434632114833221,11250
37,-372.95000000000005,0,0.9636582956114175,0.007220721427761388,11552
38,-453.4400000000004,0,0.9626946373158061,0.006680548182597289,11869
39,-387.2399999999998,0,0.9617319426784903,0.007141931982111494,12176
40,-378.9599999999999,0,0.9607702107358118,0.007039702169095108,12481
