episode,reward,success,noise_sigma,ep_avg_critic_loss,ep_avg_actor_loss,buffer_size
1,-1001.6439999100643,0,0.29916,9.602153818372269,2.087183539086664,269
2,-1391.4462957960043,0,0.29832235199999996,5.967043527762095,2.967803359826406,569
3,-1393.991852916372,0,0.29748704941439996,2.740160936017831,5.339245818456014,869
4,-288.8334604948467,0,0.2966540856760396,3.317447631955147,5.392692575454712,969
5,-94.44539752882054,0,0.2958234542361467,4.539114295802218,4.178005746070375,1063
6,-105.6393679534185,0,0.2949951485642855,7.12777284016976,3.398062004492833,1167
7,-140.60411219269335,0,0.29416916214830546,5.189602866768837,3.1578848912165713,1271
8,-168.44187679358876,0,0.2933454884942902,10.707963238305906,2.980776416904786,1407
9,-154.68124379078617,0,0.29252412112650616,16.68881802450527,2.4993199456821786,1517
10,-55.10434945417795,0,0.29170505358735194,13.991120107607408,2.2365347726778553,1627
11,-118.65256595385944,0,0.29088827943730733,11.8380430745227,1.8319945026721274,1738
12,-97.91188551072455,0,0.29007379225488283,18.18439146188589,1.5296961825627546,1842
13,-97.79110842099544,0,0.2892615856365692,14.15163606967566,1.331415204507,1948
14,4.378479030799049,0,0.2884516531967868,13.130793373584748,0.7716791045665741,2049
15,-135.41202877365066,0,0.2876439885678358,19.34246024618978,0.4626339826246966,2140
16,-100.60712078817855,0,0.28683858539984586,14.12325511587427,0.11498936535196101,2235
17,-88.87250787246404,0,0.2860354373607263,19.592729702908944,0.09104723816222333,2328
18,-193.94986791612936,0,0.28523453813611627,24.298559799790382,-0.4989647931818451,2441
19,-101.64305649171044,0,0.2844358814293351,20.633582082200558,-1.1682451621015022,2535
20,-89.85074922756455,0,0.28363946096133297,23.157151792911773,-1.2976031956520486,2628
21,-1.189904146885361,0,0.28284527047064123,21.568528148260985,-1.8933250667019323,2717
22,-97.06151828107858,0,0.28205330371332343,22.12344404567372,-1.9042113309556787,2826
23,-101.59392277205998,0,0.2812635544629261,18.841343324235144,-2.3189976976272906,2921
24,-184.6047396446749,0,0.2804760165104299,23.076198511204478,-2.7089571892204933,3038
25,-88.39257785728587,0,0.2796906836642007,18.029820675320096,-2.4172448929813175,3128
26,-105.62732622798984,0,0.2789075497499409,29.637400217223586,-3.544001114995856,3242
27,4.778765775160863,0,0.2781266086106411,19.1341339422732,-3.892305544444493,3341
28,-83.8739463272972,0,0.2773478541065313,23.048148252747275,-4.368279513987628,3429
29,18.800655022112842,0,0.276571280115033,40.09280805587768,-4.755371909141541,3529
30,-56.171740787226405,0,0.27579688053071094,20.482666006794684,-4.9198199775483875,3636
31,-115.8619745383121,0,0.27502464926522496,31.962590252269397,-5.580542521043257,3746
32,-142.18088730653642,0,0.27425458024728233,35.9257550795873,-6.018634732564291,3867
33,0.6709215961110147,0,0.2734866674225899,31.485747822693416,-6.360460077013288,3978
34,-47.730172587778625,0,0.27272090475380667,28.968483538463197,-6.901747308928391,4094
35,105.88512407708103,0,0.27195728622049603,41.16045343659141,-7.497889527407559,4205
36,-95.61198778073963,0,0.27119580581907865,43.7715008828951,-8.218641239663828,4296
37,-84.6203153277562,0,0.2704364575627852,30.688095596101547,-8.54866624408298,4387
38,10.962242403108789,0,0.26967923548160944,26.499396288836444,-9.075963338216146,4494
39,-288.95448575159094,0,0.2689241336222609,39.34958041736058,-10.250118814195906,4635
40,-175.5711347385986,0,0.2681711460481186,29.58231667340812,-10.236027863066075,4752
41,-87.86342454401694,0,0.26742026683918385,31.335026130080223,-11.005747854709625,4849
42,-18.044626349630285,0,0.2666714900920341,41.40115843063746,-12.234452810042944,4927
43,-177.8487361237431,0,0.2659248099197764,30.807914380369514,-12.488127823533683,5042
44,485.6556022605417,1,0.265180220452001,26.789340362992398,-12.752135986505552,5128
45,-15.70243457066983,0,0.2644377158347354,42.25424628672393,-13.423244103141453,5220
46,17.657465962004444,0,0.2636972902303981,38.73800557368511,-14.24363357956345,5294
47,-0.23869067336597283,0,0.262958937817753,35.79309401145348,-14.909271827110878,5372
48,24.440939780015064,0,0.26222265279186324,35.49626148448271,-14.860495511223288,5441
49,-728.416657889843,0,0.26148842936404604,49.99689497806058,-15.241215318736463,5642
50,19.001265575485363,0,0.2607562617618267,34.68714072064655,-15.71965050115818,5725
51,455.23261412312917,1,0.2600261442288936,36.270083740353584,-16.109623908996582,5789
52,-26.913307435469747,0,0.2592980710250527,108.79612513950893,-16.744377170290267,5901
53,-102.66114161409918,0,0.25857203642618254,127.66625947283025,-17.791392242699338,6014
54,-34.92348312085877,0,0.2578480347241892,99.08114879471916,-18.78052012125651,6099
55,-96.05027545319102,0,0.2571260602269615,64.34713963901295,-19.638205584357767,6200
56,-1.9521487352706899,0,0.256406107258326,83.53925222574279,-19.879088512686796,6286
57,64.37289231806366,0,0.2556881701580027,71.31545078463671,-20.611513323900176,6369
58,74.3517873107835,0,0.2549722432815603,42.00057909886042,-21.408008734385174,6465
59,11.560113027141782,0,0.25425832100037193,159.56278286809507,-22.25929417817489,6556
60,-0.3603440095133337,0,0.2535463977015709,44.106200681413924,-22.86563824244908,6627
61,29.37452124357295,0,0.2528364677880065,144.7469781825417,-22.42958927154541,6703
62,17.41152090233475,0,0.2521285256782001,168.47079472792777,-23.992083198145817,6779
63,-258.17225154709155,0,0.2514225658063011,77.77911382178738,-24.940584104355068,6925
64,-25.489642049866244,0,0.2507185826220435,131.7535417813521,-26.015875816345215,7028
65,95.88385859464886,0,0.25001657059070176,76.54196702109442,-26.526997725168865,7101
66,-86.95236778420961,0,0.24931652419304778,105.27772527370813,-27.174592971801758,7206
67,-79.77301666825109,0,0.24861843792530725,130.3800657848979,-28.126324986302574,7293
68,19.499452838055817,0,0.24792230629911638,101.92609729766846,-29.464043638441296,7382
69,18.913317900879086,0,0.24722812384147885,201.99828209347194,-30.31580318874783,7473
70,19.00304785228085,0,0.2465358850947227,73.57137646145291,-30.832754686143662,7563
71,15.383530105383024,0,0.24584558461645747,91.8377613587813,-30.789747324856844,7651
72,127.220182066271,0,0.24515721697953138,139.25406488619353,-31.981901620563708,7727
73,23.88959171270279,0,0.2444707767719887,72.5328496631823,-34.82298876109876,7803
74,-1199.8013317928112,0,0.24378625859702713,78.30593848228455,-36.77902989705404,8103
75,-0.7467142972829137,0,0.24310365707295545,90.32523119127428,-38.44640834911449,8177
76,119.71164989289306,0,0.24242296683315118,71.76767513487074,-38.71205181545682,8249
77,99.31371815436921,0,0.24174418252601834,100.4124852861677,-39.149759020124165,8319
78,-1118.7254821341703,0,0.24106729881494549,67.81661040941874,-40.264701461791994,8619
79,-1213.3913966994,0,0.24039231037826364,90.1930269908905,-41.25956100463867,8919
80,-772.6171694741057,0,0.2397192119092045,82.40914632810042,-42.24206425199573,9217
81,116.29956700497019,0,0.23904799811585872,90.2392872095108,-44.440017795562746,9297
82,73.54528021048812,0,0.2383786637211343,148.0377808726111,-44.18710761846498,9383
83,-20.853710198095204,0,0.23771120346271513,93.50994342412704,-45.65372760479267,9460
84,14.388052884794085,0,0.23704561209301953,56.04239347818736,-45.11026372136296,9534
85,-1130.8094639224114,0,0.23638188437915905,84.38863992055258,-46.62045804341634,9834
86,-28.188871984184857,0,0.2357200151028974,83.23052038465228,-47.03804461161295,9918
87,-44.31312258600218,0,0.23505999906060926,25.89977579338606,-47.46527294779933,10004
88,-20.030354493131398,0,0.23440183106323956,23.91137190354176,-48.84550094604492,10082
89,-21.33694916045263,0,0.23374550593626248,168.84015026757882,-48.34586582627407,10168
90,-4.332279827560619,0,0.23309101851964092,53.84106521606445,-50.33941396077474,10259
91,-1.5985549347506947,0,0.23243836366778592,123.41769589980443,-49.82447783152262,10355
92,-42.41978798538388,0,0.23178753624951612,87.58984151320024,-51.14666123823686,10465
93,8.672683053720228,0,0.23113853114801747,110.34940783482678,-51.60661467066351,10570
94,-29.616666945117302,0,0.230491343260803,28.954294238771713,-52.68207559131441,10654
95,72.01519137240628,0,0.22984596749967276,24.133422688740055,-52.899249937476185,10737
96,117.32265615696349,0,0.22920239879067367,101.93100360382435,-53.34362739740416,10823
97,-31.334336394233894,0,0.22856063207405977,44.849369976737286,-54.468459181352095,10932
98,78.69178377934216,0,0.2279206623042524,52.028625835071914,-55.32539515061812,11021
99,-172.566157008352,0,0.22728248444980048,84.8375909214928,-55.589677114335316,11146
100,-0.46357934400296585,0,0.22664609349334103,134.62253018972035,-56.73177605706292,11220
