episode,reward,avg_team_return,success,epsilon,ep_avg_loss,buffer_size,steps,collisions,waypoints_visited
1,-78.96001029014587,-78.96001029014587,0,0.9992,4.342646887369245,1108,277,4,5
2,201.83999574184418,201.83999574184418,0,0.99840064,3.4380792661717066,2172,266,2,6
3,52.64999407529831,52.64999407529831,0,0.9976019194879999,3.768442202182043,3348,294,7,8
4,146.76000094413757,146.76000094413757,0,0.9968038379524095,3.74307487277911,4384,259,8,5
5,282.7900077700615,282.7900077700615,0,0.9960063948820475,3.799960972719671,5420,259,8,7
6,170.3599877357483,170.3599877357483,0,0.9952095897661418,3.841285766568035,6444,256,4,6
7,150.31000152230263,150.31000152230263,0,0.9944134220943289,3.782193704821029,7504,265,0,5
8,-10.86999785900116,-10.86999785900116,0,0.9936178913566535,3.807612741266498,8552,262,1,4
9,343.1899918913841,343.1899918913841,0,0.9928229970435681,3.8347988124279415,9640,272,0,8
10,133.76999640464783,133.76999640464783,0,0.9920287386459332,3.9731046040559606,10724,271,6,6
11,143.9399978518486,143.9399978518486,0,0.9912351156550164,3.8517572274979424,11812,272,6,6
12,38.68999344110489,38.68999344110489,0,0.9904421275624924,3.8337897556041605,12884,268,4,5
13,92.08000355958939,92.08000355958939,0,0.9896497738604424,3.810583255702643,13996,278,2,5
14,184.7899962067604,184.7899962067604,0,0.9888580540413541,3.777622669385368,15080,271,0,6
15,120.80998829007149,120.80998829007149,0,0.988066967598121,3.7457104589706076,16144,266,7,6
16,1018.8799921274185,1018.8799921274185,1,0.9872765140240425,3.9187233965080903,16808,166,0,10
17,218.25001978874207,218.25001978874207,0,0.9864866928128232,3.9500745340835217,17840,258,8,7
18,154.960007250309,154.960007250309,0,0.9856975034585729,3.8777660991682676,18932,273,6,6
19,504.45999360084534,504.45999360084534,0,0.984908945455806,4.007899598095769,19964,258,6,9
20,13.380002737045288,13.380002737045288,0,0.9841210182994413,3.850215158516303,21028,266,4,4
21,426.9399999976158,426.9399999976158,0,0.9833337214848017,3.9666600007636874,22048,255,0,8
22,82.83000820875168,82.83000820875168,0,0.9825470545076138,3.9564034852981567,23048,250,5,5
23,198.53999453783035,198.53999453783035,0,0.9817610168640077,4.019179171832033,24080,258,4,6
24,239.1699941456318,239.1699941456318,0,0.9809756080505165,3.8839631656276863,25132,263,0,7
25,164.14999026060104,164.14999026060104,0,0.980190827564076,3.9105798903526914,26184,263,6,6
26,289.73999828100204,289.73999828100204,0,0.9794066749020248,3.864682738046001,27248,266,6,7
27,339.50999557971954,339.50999557971954,0,0.9786231495621032,3.929590013143275,28316,267,0,7
28,-75.73999124765396,-75.73999124765396,0,0.9778402510424534,3.9677456377157525,29388,268,38,5
29,486.77000534534454,486.77000534534454,0,0.9770579788416195,3.948149098083377,30412,256,4,9
30,151.4600037932396,151.4600037932396,0,0.9762763324585462,3.910522609949112,31532,280,4,6
31,122.37000745534897,122.37000745534897,0,0.9754953113925793,3.8743179854936898,32556,256,8,5
32,250.90999379754066,250.90999379754066,0,0.9747149151434652,4.007723146471484,33600,261,2,6
33,304.84000557661057,304.84000557661057,0,0.9739351432113504,3.884553646066375,34676,269,0,7
34,447.67000126838684,447.67000126838684,0,0.9731559950967813,3.852787067455873,35752,269,0,8
35,21.119998514652252,21.119998514652252,0,0.9723774703007039,3.7922033969039624,36788,259,2,4
36,-49.180004239082336,-49.180004239082336,0,0.9715995683244633,3.868003401614476,37864,269,5,4
37,141.33999079465866,141.33999079465866,0,0.9708222886698037,3.82052283000229,38928,266,6,6
38,-54.45998978614807,-54.45998978614807,0,0.9700456308388679,3.8941435872828554,39980,263,2,4
39,288.6800077557564,288.6800077557564,0,0.9692695943341968,3.79060555596388,41028,262,0,7
40,177.91999912261963,177.91999912261963,0,0.9684941786587294,3.7794069892955275,42088,265,2,6
41,338.0800004005432,338.0800004005432,0,0.9677193833158024,3.8208833517450276,43144,264,8,7
42,134.28999936580658,134.28999936580658,0,0.9669452078091497,3.780506607130462,44164,255,0,5
43,183.22001016139984,183.22001016139984,0,0.9661716516429024,3.785900398637309,45220,264,0,6
44,143.22000032663345,143.22000032663345,0,0.9653987143215881,3.7780369441874706,46316,274,7,6
45,179.14000397920609,179.14000397920609,0,0.9646263953501308,3.62367422266524,47348,258,0,6
46,348.4100111722946,348.4100111722946,0,0.9638546942338507,3.8058467197787853,48380,258,2,7
47,161.5499935746193,161.5499935746193,0,0.9630836104784636,3.764318035397719,49488,277,0,6
48,18.150003135204315,18.150003135204315,0,0.9623131435900808,3.8356433103669363,50548,265,2,4
