episode,reward,success,epsilon,ep_avg_loss,buffer_size
1,-200.42999999999992,0,0.997,9.252303066253662,88
2,-308.3199999999999,0,0.994009,21.275801145368153,196
3,-332.40999999999997,0,0.991026973,19.983977572917937,296
4,-204.97999999999993,0,0.988053892081,18.454281995242294,384
5,-303.6799999999999,0,0.985089730404757,19.51614264096364,485
6,-262.3399999999999,0,0.9821344612135428,16.206489853104767,583
7,-188.52999999999994,0,0.9791880578299021,20.063611048189077,671
8,-226.84999999999997,0,0.9762504936564125,17.93779550636968,764
9,-415.7400000000002,0,0.9733217421754432,22.250786461328204,878
10,-242.97999999999985,0,0.9704017769489168,17.26104869554331,969
11,-256.8299999999999,0,0.9674905716180701,21.320373131583136,1065
12,-267.0199999999999,0,0.9645880999032158,17.70038012454384,1160
13,-328.56999999999994,0,0.9616943356035061,18.231543768019904,1265
14,-199.62999999999994,0,0.9588092525966956,20.84756341610832,1352
15,-242.45,0,0.9559328248389055,14.981669938944755,1446
16,-322.88000000000005,0,0.9530650263643888,15.438393940435391,1553
17,-170.88,0,0.9502058312852957,15.95614224097815,1636
18,-196.25,0,0.9473552137914398,14.885512122843,1726
19,-137.24,0,0.9445131481500655,14.939850194752216,1806
20,-262.6099999999999,0,0.9416796087056153,14.354695418228706,1902
21,-210.1799999999999,0,0.9388545698794984,16.640724020925436,1990
22,-150.00999999999993,0,0.93603800616986,15.164944900245201,2072
23,-146.32999999999996,0,0.9332298921513504,11.912818469652315,2154
24,-190.67999999999995,0,0.9304302024748964,12.159162568194526,2238
25,-140.87999999999994,0,0.9276389118674717,17.31987129168564,2327
26,-161.39999999999998,0,0.9248559951318693,18.105128026590116,2409
27,-261.32,0,0.9220814271464737,10.967549705505371,2504
28,-103.50999999999993,0,0.9193151828650342,13.92097418746729,2591
29,-153.85999999999999,0,0.9165572373164391,13.94179248373683,2673
30,-205.94999999999993,0,0.9138075656044898,12.087535576025646,2763
31,-138.36999999999995,0,0.9110661429076764,10.235378503054381,2843
32,-162.78999999999996,0,0.9083329444789534,12.637997611459479,2926
33,-136.49,0,0.9056079456455165,17.552076444949634,3007
34,-298.0899999999999,0,0.90289112180858,9.601361299505328,3108
35,-212.9899999999999,0,0.9001824484431542,11.516215728909781,3197
36,-231.42000000000007,0,0.8974819010978248,12.728472950083486,3286
37,-177.18999999999994,0,0.8947894553945313,7.172917018217199,3371
38,-227.69999999999996,0,0.8921050870283477,11.786130297929049,3459
39,-195.89999999999995,0,0.8894287717672626,9.9132035173649,3545
40,-120.02999999999997,0,0.8867604854519608,8.222370847203265,3632
41,-240.05999999999995,0,0.884100203995605,12.261440298714481,3723
42,-166.80999999999997,0,0.8814479033836181,14.953746917635895,3809
43,-192.46999999999994,0,0.8788035596734672,11.381065325877247,3894
44,-184.97000000000003,0,0.8761671489944468,10.867258770222014,3982
45,-229.07999999999993,0,0.8735386475474635,11.612462496037011,4073
46,-146.09999999999994,0,0.8709180316048211,5.091956788810288,4155
47,-257.53999999999985,0,0.8683052775100066,5.626733609081543,4252
48,-122.23999999999997,0,0.8657003616774767,10.21391476181489,4331
49,-143.17,0,0.8631032605924442,8.735133274446559,4410
50,-117.04999999999995,0,0.860513950810667,4.085843991149556,4487
51,-255.69999999999996,0,0.857932408958235,8.098604212359836,4583
52,-135.21999999999997,0,0.8553586117313603,11.193756024671506,4662
53,-191.09999999999997,0,0.8527925358961662,8.248096539530643,4748
54,-48.29999999999995,0,0.8502341582884777,4.986708001047373,4828
55,-177.67999999999998,0,0.8476834558136123,4.5791763218052415,4911
56,-119.13999999999999,0,0.8451404054461714,2.92217583030085,4990
57,-214.95999999999992,0,0.8426049842298329,5.12040320303705,5080
58,-181.99999999999997,0,0.8400771692771434,7.1014652365729924,5164
59,-328.5700000000002,0,0.837556937769312,4.369571021795273,5264
60,-35.59999999999997,0,0.835044266956004,7.4940199213914385,5342
61,-190.26999999999998,0,0.8325391341551359,5.829675147575991,5426
62,-195.02999999999997,0,0.8300415167526705,16.63679135252129,5514
63,-219.19999999999996,0,0.8275513922024125,4.764453004146445,5601
64,-145.09999999999997,0,0.8250687380258053,3.424405674381954,5683
65,-163.60999999999996,0,0.8225935318117279,10.086218110308415,5765
66,-252.71999999999986,0,0.8201257512162927,3.132444267631859,5858
67,-230.4500000000001,0,0.8176653739626438,5.443118147717582,5948
68,-144.25999999999996,0,0.8152123778407558,2.1893485456705095,6028
69,-126.53999999999995,0,0.8127667407072335,4.358771896362304,6118
70,-154.70999999999998,0,0.8103284404851119,7.354162353056449,6199
71,-183.93999999999994,0,0.8078974551636565,9.738139697483607,6283
72,-152.65999999999997,0,0.8054737627981655,7.847767616925615,6372
73,-126.20999999999998,0,0.803057341509771,5.850454725042174,6451
74,-192.74999999999997,0,0.8006481694852418,4.297000161437101,6537
75,-167.05,0,0.798246224976786,9.297717413887746,6619
76,-169.25999999999996,0,0.7958514863018556,7.8948305653674264,6703
77,-194.62999999999997,0,0.79346393184295,5.456736203925363,6790
78,-232.79999999999987,0,0.7910835400474212,7.388722096654502,6878
79,-103.47999999999999,0,0.7887102894272789,7.864346065591364,6963
80,-183.64999999999998,0,0.7863441585589971,6.148794770942015,7048
81,-185.32999999999996,0,0.78398512608332,7.772325265975225,7132
82,-78.61,0,0.7816331707050701,10.797041142270679,7216
83,-159.65999999999997,0,0.7792882711929549,9.694236064531717,7299
84,-187.79,0,0.776950406379376,6.472877734548906,7384
85,-26.28999999999996,0,0.7746195551602378,6.90005586170531,7461
86,-130.70999999999998,0,0.7722956964947572,7.09008923795197,7552
87,-65.04999999999995,0,0.7699788094052729,7.906332777238187,7633
88,-108.13999999999999,0,0.767668872977057,13.49989936187079,7709
89,271.6,1,0.7653658663581259,10.160471184253693,7784
90,-171.48999999999998,0,0.7630697687590515,28.87314553842658,7868
91,-265.97999999999996,0,0.7607805594527743,8.628307310459407,7960
92,-130.48999999999998,0,0.7584982177744161,41.554425700555875,8039
93,-266.71999999999986,0,0.7562227231210928,8.490159801814867,8131
94,-208.74999999999991,0,0.7539540549517295,13.061783969402313,8217
95,-76.97999999999992,0,0.7516921927868743,30.09618466874448,8299
96,-152.39999999999998,0,0.7494371162085136,34.77275702804327,8379
97,-175.4699999999999,0,0.747188804859888,27.344183645693654,8462
98,-202.9399999999999,0,0.7449472384453084,17.046610931781206,8550
99,-153.67,0,0.7427123967299725,29.80185772239426,8631
100,-157.13,0,0.7404842595397826,26.614970290366514,8712
101,-169.95999999999992,0,0.7382628067611632,7.881454021448181,8796
102,-192.36,0,0.7360480183408797,25.506470935134328,8881
103,-150.46000000000004,0,0.7338398742858571,24.506912760436535,8961
104,-175.05999999999997,0,0.7316383546629995,22.73991667940503,9045
105,-202.69999999999993,0,0.7294434395990105,38.83052966855038,9132
106,-174.23999999999995,0,0.7272551092802134,23.888994616198254,9215
107,-146.94999999999993,0,0.7250733439523728,22.003987851702135,9296
108,-227.57999999999993,0,0.7228981239205157,12.32610905766487,9386
109,-50.579999999999956,0,0.7207294295487541,27.920746074616908,9466
110,-160.40999999999994,0,0.7185672412601078,10.930843529247102,9550
111,-159.83999999999995,0,0.7164115395363275,24.982673566743554,9633
112,-178.94999999999996,0,0.7142623049177186,11.057683014443942,9717
113,-82.65999999999993,0,0.7121195180029655,8.582169623260038,9800
114,-57.59999999999997,0,0.7099831594489566,28.401821873536925,9882
115,-153.14999999999998,0,0.7078532099706097,5.2979252478222785,9963
116,-71.97999999999993,0,0.7057296503406979,9.08354399956408,10047
117,-92.65999999999994,0,0.7036124613896758,9.542728113076267,10132
118,-41.11999999999997,0,0.7015016240055068,18.42273263335228,10212
119,-61.88999999999996,0,0.6993971191334902,36.77818164676428,10292
120,-60.31999999999993,0,0.6972989277760897,27.520282258347766,10374
121,235.34,0,0.6952070309927615,15.339316491621087,10457
122,-167.89999999999992,0,0.6931214098997832,30.153087118776835,10539
123,-69.84999999999995,0,0.6910420456700839,25.917354878958534,10624
124,-164.46999999999994,0,0.6889689195330736,16.928630268717388,10707
125,-158.16999999999996,0,0.6869020127744744,13.881554906015042,10788
126,-35.98999999999995,0,0.684841306736151,28.33068764504091,10869
127,-132.11999999999995,0,0.6827867828159425,33.400359044224025,10949
128,-235.83999999999995,0,0.6807384224674947,12.561378775017985,11038
129,-144.73999999999998,0,0.6786962072000923,25.394407831132412,11118
130,-67.62999999999998,0,0.676660118578492,27.800057418552445,11199
131,-148.12999999999997,0,0.6746301382227565,22.226535297470328,11280
132,-139.60999999999996,0,0.6726062478080883,23.8605487793684,11360
133,-169.4999999999999,0,0.6705884290646641,39.67252046451336,11442
134,-25.57999999999997,0,0.66857666377747,11.152507670414753,11520
135,-145.35999999999993,0,0.6665709337861376,13.648190395534039,11600
136,-157.15,0,0.6645712209847792,11.868844093363961,11681
137,-59.249999999999986,0,0.6625775073218249,27.953373206824793,11763
138,-120.01999999999995,0,0.6605897747998594,7.5949337887458315,11841
139,-52.23999999999997,0,0.6586080054754598,27.2381588216871,11921
140,-42.28999999999994,0,0.6566321814590335,28.014642440065554,12000
141,-158.01999999999992,0,0.6546622849146564,13.840900324913392,12083
142,-51.88999999999997,0,0.6526982980599124,25.979534836462985,12164
143,-171.73,0,0.6507402031657327,34.891834670589084,12248
144,-34.55999999999995,0,0.6487879825562355,21.347245861322452,12326
145,-106.27999999999997,0,0.6468416186085668,8.396640005864596,12402
146,-38.329999999999984,0,0.6449010937527411,29.635533242690855,12484
147,-50.67999999999998,0,0.6429663904714829,26.93809578504907,12567
148,-28.379999999999974,0,0.6410374913000684,22.58567874944663,12646
149,-34.88999999999996,0,0.6391143788261682,14.954597708545153,12725
150,-153.36999999999998,0,0.6371970356896897,13.082325276805133,12807
151,-197.46,0,0.6352854445826206,26.60586176223533,12893
152,-41.28999999999996,0,0.6333795882488727,26.383740895911107,12972
153,-104.64999999999998,0,0.6314794494841262,14.780656841221978,13057
154,-81.99999999999994,0,0.6295850111356738,24.470234157074067,13141
155,-161.64999999999995,0,0.6276962561022668,39.511092818364865,13223
156,-43.949999999999974,0,0.62581316733396,20.310677548497914,13303
157,-9.799999999999997,0,0.623935727831958,20.427638408384826,13379
158,-40.679999999999964,0,0.6220639206484622,28.286579096758807,13460
159,-51.08999999999997,0,0.6201977288865168,19.67963108604337,13541
160,-139.74999999999997,0,0.6183371356998573,50.28865828487899,13632
161,-81.88999999999999,0,0.6164821242927577,21.05936294443467,13717
162,-69.99999999999997,0,0.6146326779198794,24.589908207335125,13799
163,-77.25999999999996,0,0.6127887798861198,29.731494297583897,13883
164,-97.68999999999994,0,0.6109504135464614,17.900164970229653,13968
165,-51.07999999999997,0,0.609117562305822,16.826802371460715,14049
166,-39.66999999999996,0,0.6072902096189046,24.210267828404902,14129
167,-49.73999999999998,0,0.6054683389900478,43.849277067184445,14209
168,260.82000000000005,0,0.6036519339730777,43.98142375451763,14291
169,-44.03999999999995,0,0.6018409781711584,27.431542779505254,14371
170,-32.71999999999994,0,0.6000354552366449,28.763648088161762,14449
171,-19.919999999999945,0,0.598235348870935,29.274191413606918,14526
172,353.41,1,0.5964406428243222,30.111853072772156,14600
173,-21.85999999999999,0,0.5946513208958493,21.157436873668278,14678
174,-61.59999999999998,0,0.5928673669331617,24.888203550268102,14759
175,-76.80999999999996,0,0.5910887648323622,29.173273354768753,14843
176,325.20000000000005,1,0.5893154985378651,42.523528783610374,14909
177,-34.179999999999936,0,0.5875475520422515,33.755877040609526,14988
178,-64.26999999999997,0,0.5857849093861247,40.27686406905393,15071
179,281.70000000000005,1,0.5840275546579663,33.728171953340855,15153
180,290.90000000000003,1,0.5822754719939924,59.68376450789602,15229
181,-172.79999999999995,0,0.5805286455780104,59.863642265157004,15311
182,303.1,1,0.5787870596412764,48.36997629801432,15386
183,-30.009999999999962,0,0.5770506984623526,68.47884518587136,15465
184,-23.399999999999956,0,0.5753195463669655,43.8276149217899,15543
185,272.59000000000003,0,0.5735935877278646,30.27682062493095,15622
186,-72.28999999999999,0,0.571872806964681,53.831074013942626,15704
187,-61.34999999999994,0,0.5701571885437869,47.864621331052085,15786
