episode,reward,avg_team_return,success,noise_sigma,ep_avg_critic_loss,ep_avg_actor_loss,buffer_size,steps,collisions,waypoints_visited,greedy_reward,greedy_success,greedy_waypoints_visited
159,1220.1645039319992,1220.1645039319992,1,0.3081794512790508,0.056408045680395195,-1.0965724140405655,7768,27,0,10,nan,,
160,1165.782010436058,1165.782010436058,1,0.3079329077180275,0.049039138347974846,-1.0820682682096958,7797,29,5,10,nan,,
161,1235.0475457310677,1235.0475457310677,1,0.3076865613918531,0.04570796860692402,-1.1689472496509552,7821,24,0,10,nan,,
162,1176.2445133924484,1176.2445133924484,1,0.3074404121427396,0.04798829089850187,-1.1552460193634033,7850,29,0,10,nan,,
163,1219.8992492556572,1219.8992492556572,1,0.3071944598130254,0.043307235988322645,-1.179471991956234,7880,30,0,10,nan,,
164,1207.3570075035095,1207.3570075035095,1,0.30694870424517495,0.04791820395205702,-1.2225410640239716,7911,31,0,10,nan,,
165,1225.0707052350044,1225.0707052350044,1,0.30670314528177883,0.04255870450288057,-1.2225818236668904,7935,24,0,10,nan,,
166,1184.9603154659271,1184.9603154659271,1,0.3064577827655534,0.04430242895614356,-1.2132702991366386,7965,30,0,10,nan,,
167,1228.3838258385658,1228.3838258385658,1,0.30621261653934095,0.04397107594247375,-1.1961644887924194,7994,29,0,10,nan,,
168,1247.227018713951,1247.227018713951,1,0.30596764644610946,0.04827410657890141,-1.2581040660540264,8016,22,2,10,nan,,
169,1238.0134881734848,1238.0134881734848,1,0.30572287232895257,0.04830433484166861,-1.2324074308077495,8038,22,2,10,nan,,
170,1109.6597380638123,1109.6597380638123,1,0.3054782940310894,0.04190890486775474,-1.300249457359314,8083,45,6,10,nan,,
171,1232.3204822540283,1232.3204822540283,1,0.30523391139586453,0.04750400009964194,-1.309926226735115,8108,25,0,10,nan,,
172,1228.9571383595467,1228.9571383595467,1,0.3049897242667478,0.044638143852353096,-1.3635864853858948,8134,26,0,10,nan,,
173,1243.9685982465744,1243.9685982465744,1,0.3047457324873344,0.044364660233259204,-1.4419238865375519,8154,20,0,10,nan,,
174,1150.3074835538864,1150.3074835538864,1,0.3045019359013445,0.04908657001538409,-1.3958795249462128,8191,37,0,10,nan,,
175,1234.1411596536636,1234.1411596536636,1,0.3042583343526234,0.04800977107758323,-1.4055464565753937,8214,23,0,10,nan,,
176,1200.6262381076813,1200.6262381076813,1,0.30401492768514127,0.04411905152457101,-1.3882683118184407,8242,28,0,10,nan,,
177,1166.8602893352509,1166.8602893352509,1,0.30377171574299316,0.042441760345051684,-1.4331589937210083,8290,48,0,10,nan,,
178,1239.2546998262405,1239.2546998262405,1,0.30352869837039875,0.041790056333411485,-1.4698803946375847,8321,31,0,10,nan,,
179,1174.8770694732666,1174.8770694732666,1,0.30328587541170243,0.040561050293035805,-1.4682180732488632,8353,32,0,10,nan,,
180,1246.717584848404,1246.717584848404,1,0.30304324671137306,0.045341240242123604,-1.4754031995932262,8377,24,0,10,nan,,
181,1246.4154728651047,1246.4154728651047,1,0.30280081211400395,0.03970946744084358,-1.531695693731308,8400,23,0,10,nan,,
182,1183.6034045815468,1183.6034045815468,1,0.30255857146431275,0.039534586326529585,-1.4984692811965943,8436,36,0,10,nan,,
183,1174.3894938230515,1174.3894938230515,1,0.3023165246071413,0.03801799612119794,-1.5171866814295452,8466,30,4,10,nan,,
184,1221.2047027349472,1221.2047027349472,1,0.3020746713874556,0.03902933560311794,-1.556487907965978,8490,24,0,10,nan,,
185,1189.8924510478973,1189.8924510478973,1,0.3018330116503456,0.039404402753072124,-1.6353593915700912,8517,27,0,10,nan,,
186,1215.3692997694016,1215.3692997694016,1,0.3015915452410253,0.04806397123528378,-1.6125701765219371,8546,29,0,10,nan,,
187,1244.5972444415092,1244.5972444415092,1,0.3013502720048325,0.04649320074046651,-1.587026874224345,8571,25,0,10,nan,,
188,1114.5805594921112,1114.5805594921112,1,0.3011091917872286,0.03878556683452593,-1.60399386882782,8606,35,14,10,nan,,
189,1185.6181190609932,1185.6181190609932,1,0.3008683044337988,0.04075430652924946,-1.7060098151365917,8635,29,0,10,nan,,
190,1254.4228416085243,1254.4228416085243,1,0.30062760979025177,0.0408313584048301,-1.5655639866987865,8657,22,0,10,nan,,
191,1236.1722311973572,1236.1722311973572,1,0.30038710770241955,0.04341214269931827,-1.7056793123483658,8686,29,0,10,nan,,
192,1235.404405117035,1235.404405117035,1,0.3001467980162576,0.03665280706870059,-1.7423497637112935,8710,24,0,10,nan,,
193,1196.3372375965118,1196.3372375965118,1,0.2999066805778446,0.04396523395553231,-1.726384272178014,8737,27,0,10,nan,,
194,1239.5741622447968,1239.5741622447968,1,0.2996667552333823,0.04065843174854914,-1.6923951208591461,8762,25,0,10,nan,,
195,1248.5723470449448,1248.5723470449448,1,0.2994270218291956,0.04456533103560408,-1.734893927971522,8785,23,0,10,nan,,
196,1222.1816951036453,1222.1816951036453,1,0.29918748021173225,0.04131248981381456,-1.7897360920906067,8810,25,0,10,nan,,
197,1230.4651956558228,1230.4651956558228,1,0.29894813022756284,0.037549165676214864,-1.8490013107657433,8839,29,0,10,nan,,
198,1221.7052937746048,1221.7052937746048,1,0.2987089717233808,0.03949325744594846,-1.7592808306217194,8867,28,0,10,nan,,
199,1258.2726425528526,1258.2726425528526,1,0.2984700045460021,0.04320699954405427,-1.808985948562622,8888,21,0,10,nan,,
200,1189.7609414458275,1189.7609414458275,1,0.2982312285423653,0.03916321136057377,-1.8074357733130455,8918,30,4,10,nan,,
201,1256.279551267624,1256.279551267624,1,0.29799264355953137,0.042830816470086575,-1.8804120272397995,8938,20,0,10,nan,,
202,1255.9631749391556,1255.9631749391556,1,0.29775424944468376,0.04393960566570362,-1.878109335899353,8961,23,0,10,nan,,
203,1232.517796099186,1232.517796099186,1,0.297516046045128,0.04039820736008031,-1.8738344311714172,8991,30,0,10,nan,,
204,1239.1399898529053,1239.1399898529053,1,0.2972780332082919,0.034795071075980864,-1.8883643746376038,9014,23,0,10,nan,,
205,1233.4551427960396,1233.4551427960396,1,0.29704021078172527,0.03665773490709918,-1.924839586019516,9040,26,0,10,nan,,
206,1205.7532616853714,1205.7532616853714,1,0.2968025786130999,0.03855783026665449,-1.865436424811681,9066,26,0,10,nan,,
207,1244.2365081310272,1244.2365081310272,1,0.2965651365502094,0.040314347483217716,-1.9018439054489136,9089,23,0,10,nan,,
208,1124.5870786905289,1124.5870786905289,1,0.2963278844409692,0.03801895072683692,-2.0042505145072935,9125,36,0,10,nan,,
209,1226.3224295377731,1226.3224295377731,1,0.2960908221334164,0.03733230674905436,-2.004641662041346,9154,29,0,10,nan,,
210,1231.9199039936066,1231.9199039936066,1,0.2958539494757097,0.0378935559031864,-1.9838761786619823,9176,22,0,10,nan,,
211,1233.208052098751,1233.208052098751,1,0.2956172663161291,0.04202617068464557,-2.0744017461935678,9200,24,0,10,nan,,
212,1232.647885620594,1232.647885620594,1,0.2953807725030762,0.04115340346470475,-2.018584758043289,9227,27,0,10,nan,,
213,1240.916810810566,1240.916810810566,1,0.29514446788507376,0.037944855711733304,-2.0314360558986664,9248,21,0,10,nan,,
214,1257.1602590084076,1257.1602590084076,1,0.2949083523107657,0.031820642994716763,-2.0212648063898087,9267,19,0,10,nan,,
215,1234.1089349985123,1234.1089349985123,1,0.29467242562891705,0.0368975294487817,-2.1372302770614624,9292,25,0,10,nan,,
216,1241.978114426136,1241.978114426136,1,0.2944366876884139,0.03536669937893748,-2.0352269411087036,9314,22,2,10,nan,,
217,1200.1885071396828,1200.1885071396828,1,0.29420113833826317,0.03820213016920856,-2.1359018832445145,9342,28,0,10,nan,,
218,1200.707635998726,1200.707635998726,1,0.29396577742759256,0.03763431210869125,-2.057742396990458,9370,28,0,10,nan,,
219,1238.4474204778671,1238.4474204778671,1,0.2937306048056505,0.03902956085013492,-2.148673363029957,9398,28,0,10,nan,,
220,1251.337777853012,1251.337777853012,1,0.293495620321806,0.03793138982728124,-2.1496303379535675,9418,20,0,10,nan,,
221,1230.8194687962532,1230.8194687962532,1,0.2932608238255485,0.037055679286519684,-2.1518774727980294,9442,24,0,10,nan,,
222,1248.2254164218903,1248.2254164218903,1,0.2930262151664881,0.035490320343524215,-2.240260144074758,9461,19,0,10,nan,,
223,1231.005959033966,1231.005959033966,1,0.29279179419435486,0.03878364580062529,-2.2376508712768555,9487,26,0,10,nan,,
224,1265.1722392439842,1265.1722392439842,1,0.29255756075899936,0.04107634055738648,-2.2321171164512634,9508,21,0,10,nan,,
225,1245.764731168747,1245.764731168747,1,0.29232351471039214,0.03512683691224083,-2.2436948269605637,9540,32,0,10,nan,,
226,1132.0994737744331,1132.0994737744331,1,0.29208965589862385,0.03624748454118768,-2.2430572658777237,9578,38,2,10,nan,,
227,1269.0180125236511,1269.0180125236511,1,0.29185598417390496,0.03877937304787338,-2.354773610830307,9595,17,0,10,nan,,
228,1247.733579158783,1247.733579158783,1,0.2916224993865658,0.036554854130372405,-2.2355189124743142,9616,21,0,10,nan,,
229,1223.3702930808067,1223.3702930808067,1,0.29138920138705654,0.03998654102906585,-2.3883800506591797,9640,24,0,10,nan,,
230,1255.69455575943,1255.69455575943,1,0.2911560900259469,0.039111328621705375,-2.3284119367599487,9664,24,0,10,nan,,
231,1265.9424622654915,1265.9424622654915,1,0.29092316515392613,0.039594126865267754,-2.402559757232666,9682,18,0,10,nan,,
232,1184.1579267978668,1184.1579267978668,1,0.290690426621803,0.036760837654583156,-2.3416911363601685,9712,30,1,10,nan,,
233,1251.738926768303,1251.738926768303,1,0.29045787428050557,0.0389081759378314,-2.3732322653134665,9735,23,0,10,nan,,
234,1260.679328739643,1260.679328739643,1,0.29022550798108115,0.03595486065993706,-2.4501179456710815,9756,21,0,10,nan,,
235,1261.801967203617,1261.801967203617,1,0.28999332757469626,0.037682059593498705,-2.4159244894981384,9778,22,0,10,nan,,
