episode,reward,success,noise_sigma,ep_avg_critic_loss,ep_avg_actor_loss,buffer_size
1,-586.4663203091208,0,0.29985,10.258438303357078,1.8479170941171192,211
2,-529.9644760212136,0,0.299700075,10.345982460414662,1.5302051820007025,415
3,-154.24090805317408,0,0.2995502249625,9.56796718889208,1.7643154574863946,549
4,-197.81176874271603,0,0.2994004498500188,8.252783972825577,1.4988760841426565,683
5,-200.54649229264123,0,0.2992507496250938,10.38432134333111,1.612967572514973,808
6,-405.5931087405961,0,0.29910112425028124,10.649873317816319,1.7859187492957482,965
7,-322.9577345612247,0,0.2989515736881561,10.530563795888746,1.6867582073082794,1112
8,-101.67180155961431,0,0.29880209790131207,14.617994073319108,1.6014256567171175,1259
9,-383.55014563874687,0,0.29865269685236145,15.163718639193354,1.3438777456412445,1407
10,-446.2675200227529,0,0.2985033705039353,11.344186690449714,1.2348386190831662,1567
11,-297.71617219734793,0,0.29835411881868334,13.45066330909729,1.0630580111344656,1716
12,-334.1358064543909,0,0.29820494175927403,15.145259934502679,0.9449104167319633,1865
13,-129.56492090381508,0,0.2980558392883944,12.267323081776247,0.7331294995748391,1983
14,-316.7069981978921,0,0.29790681136875025,16.869595110416412,0.5853662587081393,2126
15,-98.53232001442902,0,0.29775785796306586,21.316978363763717,0.3937981475795072,2253
16,22.20643837410831,0,0.29760897903408434,20.42814410130183,0.07926821984971563,2373
17,-158.45006626125314,0,0.2974601745445673,25.719497048493587,-0.12028251500856696,2504
18,-173.26095349675154,0,0.297311444457295,18.3692150885059,-0.31173138500701997,2628
19,-170.97743409933437,0,0.2971627887350664,25.6228195860766,-0.7005904208922732,2766
20,-226.75162510021957,0,0.2970142073406989,25.701980686187746,-1.0383734410628676,2887
21,-288.734537075856,0,0.2968657002370286,22.54658720944379,-1.3202236550482545,3034
22,-148.23116017120304,0,0.29671726738691007,18.569632165133953,-1.489904584363103,3163
23,-117.99030690301886,0,0.2965689087532166,24.653963685035706,-1.8492160257365968,3307
24,-237.24441576547582,0,0.29642062429884003,26.324898988385744,-2.0545395703255376,3464
25,-27.53692023766417,0,0.29627241398669063,25.19386312311346,-2.4014018058776854,3574
26,-219.57192763077904,0,0.2961242777796973,24.61916524644882,-2.7475693907056535,3701
27,-273.502946530371,0,0.29597621564080745,34.89184393820825,-2.947589211649709,3855
28,-28.004522719187534,0,0.29582822753298704,29.68480161577463,-3.307952592149377,3982
29,-122.6333892517425,0,0.2956803134192206,34.909294624586366,-3.6589289903640747,4130
30,-208.09522505230973,0,0.295532473262511,38.79371956311739,-4.222972484735342,4260
31,-258.99952099951156,0,0.2953847070258797,39.46040135460931,-4.781860548096734,4408
32,-92.76882619503306,0,0.2952370146723668,38.71423698644169,-5.237596941775963,4531
33,-230.06613648291295,0,0.2950893961650306,32.829763164520266,-5.748556334177653,4680
34,443.1747420582427,1,0.2949418514669481,39.45183807519766,-6.419515264951266,4810
35,412.44914382975355,1,0.29479438054121465,108.2893797035875,-7.1669886112213135,4926
36,-327.17685717787197,0,0.2946469833509441,69.04417009787126,-7.5407874584198,5059
37,-71.17906735675561,0,0.2944996598592686,109.02292667308323,-8.3304946456157,5201
38,-177.06540326826283,0,0.294352410029339,99.31480880081654,-9.218276545405388,5328
39,-36.9224536529976,0,0.29420523382432434,126.97827098244115,-9.832376195673357,5443
40,-63.71248949431354,0,0.2940581312074122,116.41943929272313,-10.134585426699731,5567
41,15.364881626186012,0,0.2939111021418085,40.14611259557433,-10.77183393704689,5685
42,-58.124994742624,0,0.2937641465907376,71.80288229882717,-11.625405684113503,5813
43,-160.74275796153032,0,0.29361726451744224,70.95591669395321,-12.160148354827381,5935
44,-19.62357904150707,1,0.29347045588518356,123.77713742852211,-12.853889495134354,6126
45,-247.87232114268,0,0.293323720657241,122.5704118671702,-13.65616217655922,6261
46,-93.94307194848483,0,0.2931770587969124,105.42901690531585,-14.900088682013044,6379
47,-195.75555750994806,0,0.293030470267514,136.65484247488135,-15.719207258785472,6514
48,489.88007966118505,1,0.29288395503238024,91.61588957370856,-16.19355590526874,6593
49,-123.19730469053835,0,0.29273751305486406,129.1362993173432,-16.801944113614265,6706
50,309.61298898598966,1,0.29259114429833666,95.05578754498409,-17.984971413245567,6811
51,-96.85358061453596,0,0.2924448487261875,162.19057897537473,-18.526075575086807,6936
52,-204.56106254766257,0,0.2922986263018244,69.51052319057403,-18.87644534640842,7062
53,-54.44818758302796,0,0.2921524769886735,190.56929322211974,-20.11650756097609,7187
54,-219.37041621280233,0,0.2920064007501792,57.15989516437917,-20.876139350559402,7324
55,-105.5512552678475,0,0.29186039754980414,116.97428109728057,-21.838249831364074,7440
56,-66.83529814495255,0,0.29171446735102924,175.90689462423325,-22.46545574069023,7569
57,-178.77208715116797,0,0.29156861011735374,144.34788930588874,-23.75191486745641,7706
58,49.36956144386672,0,0.29142282581229506,118.10056892273919,-24.633738381522043,7832
59,-189.0750617004992,0,0.2912771143993889,109.30836794716971,-25.794895662580217,7973
60,-122.61930800480424,0,0.29113147584218924,101.6276960701778,-26.99395209345324,8089
61,-146.61845462475455,0,0.29098591010426816,148.47528676986695,-27.36332759857178,8208
62,-108.18122080701957,0,0.29084041714921605,136.42941336477958,-28.83194381959977,8332
63,561.4091887928186,1,0.29069499694064144,76.2501492867103,-29.66980604025034,8384
64,-31.925437730701706,0,0.29054964944217115,147.7545007978167,-30.768624884741648,8496
65,469.151339468897,1,0.2904043746174501,93.29959223005507,-31.47532448945222,8605
66,349.5723328003334,1,0.2902591724301414,149.30797242336587,-32.878248558669796,8727
67,376.9876725272491,1,0.29011404284392633,111.26824882795226,-34.996135423768244,8833
68,522.6262059975555,1,0.2899689858225044,155.4872396829966,-35.71622900060705,8907
69,-142.2030119208688,0,0.2898240013295932,140.78294263567244,-37.14361882890974,9047
70,495.4566648739784,1,0.2896790893289284,129.78440916979756,-39.35055139329698,9155
71,-115.3334710610701,0,0.28953424978426395,119.03483985452091,-40.83054009605856,9291
72,407.4699826108088,1,0.2893894826593718,222.80967358180456,-42.19974268699179,9388
73,299.3660288013102,1,0.28924478791804215,191.88703385377542,-44.48006096864358,9466
74,525.5102689976154,1,0.28910016552408313,163.49588422422056,-44.37413533528646,9520
75,424.9304274751018,1,0.2889556154413211,80.85213908442745,-45.78120182178639,9575
76,-184.6904641785016,0,0.28881113763360045,152.89177249726794,-47.18110384259905,9701
77,558.3545867329104,1,0.28866673206478366,107.64596547020807,-48.41013262006972,9773
78,431.1680923316126,1,0.2885223986987513,189.4590912380734,-49.05896759033203,9847
79,-110.92910937946625,0,0.28837813749940194,210.88784233998445,-51.82181458554025,9964
80,-270.38195213635976,0,0.28823394843065225,161.1660792610862,-53.26813333684748,10097
81,434.86698337730866,1,0.28808983145643696,231.14324107314602,-54.41944896813595,10162
82,535.7223637752904,1,0.28794578654070874,296.7068810235886,-55.04353859311058,10204
83,129.2828347728617,1,0.2878018136474384,113.63821952126243,-56.01153203790838,10314
84,458.33906555671325,1,0.2876579127406147,183.31662440749835,-59.03143857560068,10420
85,462.50293025179184,1,0.2875140837842444,246.3517416249151,-60.24911573658819,10512
86,-136.4795542268201,0,0.2873703267423523,177.09667251069666,-62.35647292056326,10631
87,405.7601655426072,1,0.28722664157898115,248.80994499206543,-64.7774739074707,10731
88,526.2671181442571,1,0.28708302825819165,243.38973556026335,-65.66204415598223,10792
89,386.1011802001899,1,0.28693948674406256,197.13643868764242,-66.82259877522786,10865
90,560.7043320648063,1,0.2867960170006905,205.92882638228568,-69.52661454050164,10941
91,602.2426529274178,1,0.2866526189921902,197.52754123394305,-70.68739436222957,10967
92,316.64057599497335,1,0.2865092926826941,219.49777741127826,-70.77671375680477,11060
93,423.198709768565,1,0.28636603803635274,249.92049960432382,-74.00890929123452,11118
94,462.4332770665851,1,0.2862228550173346,216.8191111973354,-74.8110833304269,11189
95,500.50059061797276,1,0.2860797435898259,243.34595567752154,-75.87969775077624,11266
96,515.1847422283707,1,0.28593670371803104,239.7892702463511,-78.58995880951753,11340
97,543.8671302387595,1,0.28579373536617203,189.33407715388708,-78.92898123604911,11396
98,440.99814007796283,1,0.28565083849848893,184.24050367200698,-79.9176819260056,11470
99,336.4361974909232,1,0.28550801307923973,199.52537848024951,-82.37758870027503,11568
100,399.57019040199634,1,0.2853652590727001,147.326660823822,-83.31695671081543,11648
101,457.15789493585623,1,0.2852225764431638,279.56658973693845,-85.78499170939128,11709
102,379.50846179459705,1,0.2850799651549422,219.54078951189595,-87.00498802431169,11832
103,522.5339974274563,1,0.28493742517236476,166.96077553885323,-88.76309225899833,11902
104,538.2756233195544,1,0.2847949564597786,187.57029724121094,-92.03735975785689,11991
105,559.683653571384,1,0.28465255898154873,213.25727081298828,-93.1604617725719,12034
