episode,reward,success,epsilon,ep_avg_loss,buffer_size
1,-724.0699999999988,0,0.9985,7.923558169229019,334
2,-496.9300000000003,0,0.9970022500000001,5.231824439290343,636
3,-850.5900000000001,0,0.9955067466250002,6.138407407141688,985
4,-499.05999999999943,0,0.9940134865050627,8.02774148614077,1296
5,-706.5300000000005,0,0.9925224662753052,10.325310638829473,1623
6,-783.2999999999953,0,0.9910336825758923,8.619199975002447,1961
7,-640.189999999999,0,0.9895471320520285,7.918948536657768,2283
8,-673.8000000000008,0,0.9880628113539505,8.729220556941899,2602
9,-884.5299999999992,0,0.9865807171369196,7.868479096080575,2952
10,-854.2099999999998,0,0.9851008460612143,8.089203840562082,3303
11,-444.52000000000015,0,0.9836231947921226,7.549581620626075,3596
12,-1878.5300000000093,0,0.9821477599999344,6.725093944120358,4084
13,-899.8200000000005,0,0.9806745383599346,7.15472714190202,4436
14,-464.70000000000044,0,0.9792035265523947,5.407983372127321,4730
15,-580.7400000000005,0,0.9777347212625662,6.402210355530698,5038
16,-496.14000000000027,0,0.9762681191806725,6.149776053478321,5338
17,-338.25999999999976,0,0.9748037170019015,7.336693734488114,5632
18,-512.3700000000006,0,0.9733415114263987,6.431446443333106,5939
19,-407.4999999999998,0,0.9718814991592591,6.481754287490493,6231
20,-670.3000000000012,0,0.9704236769105203,6.9336328121561275,6556
21,-621.8599999999997,0,0.9689680413951546,7.9207073307596145,6876
22,-602.320000000001,0,0.9675145893330619,6.2789006601935755,7189
23,-766.7100000000008,0,0.9660633174490624,6.043208387802075,7518
24,-791.9899999999986,0,0.9646142224728889,6.9779809911098996,7859
25,-471.28000000000054,0,0.9631673011391796,5.428998236629096,8156
26,-524.1700000000004,0,0.9617225501874709,5.882209999269092,8464
27,-535.4700000000004,0,0.9602799663621897,6.163365085718113,8772
28,-576.4400000000003,0,0.9588395464126465,5.318029422586719,9085
29,-677.7900000000001,0,0.9574012870930275,5.5947671195953435,9404
30,-485.8699999999996,0,0.955965185162388,5.617249470328291,9704
31,-866.7499999999989,0,0.9545312373846445,4.850586564053266,10053
32,-585.5400000000001,0,0.9530994405285677,5.6003108121478515,10366
33,-457.1699999999994,0,0.9516697913677749,5.070463232167468,10662
34,-740.2199999999999,0,0.9502422866807232,4.235464526173062,10996
35,-727.2999999999982,0,0.9488169232507021,4.597090118160614,11321
36,-552.8600000000012,0,0.9473936978658261,4.410808584391097,11627
37,-530.7499999999994,0,0.9459726073190273,4.365257668812744,11932
38,-654.3999999999983,0,0.9445536484080488,3.9798474044698042,12260
39,-500.29999999999967,0,0.9431368179354368,4.519499362799628,12579
40,-819.6899999999982,0,0.9417221127085337,4.429670376924887,12915
41,-469.99999999999983,0,0.9403095295394709,3.444656857286238,13212
