episode,reward,success,alpha,ep_avg_actor_loss,ep_avg_critic_loss,buffer_size,total_steps
1,-523.6089509654623,0,0.20000000298023224,nan,nan,280,280
2,-465.0920053807705,0,0.20000000298023224,nan,nan,553,553
3,-384.29908464823137,0,0.20000000298023224,nan,nan,811,811
4,-283.48792768276377,0,0.20000000298023224,nan,nan,1038,1038
5,-341.1180180044794,0,0.20000000298023224,nan,nan,1297,1297
6,-672.8739429008839,0,0.20000000298023224,nan,nan,1617,1617
7,-299.23640016105736,0,0.20000000298023224,nan,nan,1855,1855
8,-461.75267753728207,0,0.20000000298023224,nan,nan,2135,2135
9,-415.55343557314285,0,0.20000000298023224,nan,nan,2396,2396
10,-429.5373974071139,0,0.20000000298023224,nan,nan,2656,2656
11,-406.0756056937268,0,0.20000000298023224,nan,nan,2931,2931
12,-653.4542747796636,0,0.19671189785003662,-1.1391722229204027,22.199025279256553,3221,3221
13,-137.77508576227427,0,0.19317558407783508,-2.262526840560521,18.795068147154193,3474,3474
14,-172.4822888863336,0,0.19012543559074402,-3.4052104372826832,19.899813201692368,3726,3726
15,-266.7041414782447,0,0.18661651015281677,-4.426522004020797,19.58042002057696,4012,4012
16,260.2378923632063,1,0.18448597192764282,-5.559409460045656,19.249692887412994,4271,4271
17,-407.3657415218162,0,0.18462608754634857,-7.30451692590391,94.4304693384447,4685,4685
18,-224.19560992028389,0,0.1838153749704361,-9.049714582829388,75.42393298017467,5011,5011
19,-177.24833409547182,0,0.1874973624944687,-10.179296028656772,77.32337349119152,5290,5290
20,-82.20573177699728,0,0.19184064865112305,-11.085013634335679,64.9689856672709,5516,5516
21,-153.06436204302855,0,0.19708369672298431,-12.121139927733717,74.73287252642268,5794,5794
22,-170.58683433187693,0,0.2032080739736557,-13.275950346100196,54.4987070605103,6061,6061
23,-172.26605211458116,0,0.20911753177642822,-14.411483154296874,76.15317879243331,6336,6336
24,-140.44649954318587,0,0.21445724368095398,-15.396999849481622,66.3997239641815,6583,6583
25,-93.10731420356198,0,0.22012008726596832,-16.083314173272317,73.34380145072937,6818,6818
26,311.2087443708175,1,0.22399450838565826,-16.58664170356646,43.236915763654665,7037,7037
27,-196.5779354628475,0,0.22731836140155792,-17.116163550570793,101.72133726203096,7278,7278
28,401.67260425445284,1,0.22770848870277405,-17.456584081417176,117.64471983037343,7442,7442
29,-195.21962828674242,0,0.22764496505260468,-18.054605907440184,95.06790914440155,7692,7692
30,-126.77705452764894,0,0.22714972496032715,-18.51987979488988,139.9793722437274,7940,7940
31,466.30416804514033,1,0.22635051608085632,-18.70901028668439,162.8560800940902,8075,8075
32,535.4018992840417,1,0.2256844937801361,-19.019586029052736,216.21836033821106,8175,8175
33,-149.47540599771037,1,0.22579002380371094,-19.66775317006297,230.89302168057594,8406,8406
34,6.98431383912839,1,0.22654417157173157,-20.128230027075094,223.64649857038233,8645,8645
35,490.185207256852,1,0.22720776498317719,-20.73426958457711,327.7193760429461,8742,8742
36,573.9669969580931,1,0.2276717573404312,-20.99738089243571,308.581101951145,8826,8826
37,601.1701737898113,1,0.2279806286096573,-21.67413898075328,357.83531944891985,8894,8894
38,584.2534126526907,1,0.22939059138298035,-22.24339433557847,410.44169023738186,8979,8979
39,586.103108025098,1,0.23083437979221344,-22.489293316760694,278.58682182610755,9062,9062
40,-148.5148594805877,0,0.2377629578113556,-24.031724295628162,423.71282949135343,9459,9459
41,338.6500177055253,1,0.24030663073062897,-25.41512719101793,480.1902052924389,9586,9586
42,572.5652696235154,1,0.24238146841526031,-26.390626684411778,455.9238683031751,9663,9663
43,303.8448981045776,1,0.24989250302314758,-28.71657368548505,391.98962416091524,10048,10048
44,580.5844400765964,1,0.25058484077453613,-29.99127017127143,414.18443359269037,10120,10120
45,314.9610144898835,1,0.2539066672325134,-31.372127029418944,496.0463611526489,10245,10245
46,-302.1859556054929,0,0.2606712281703949,-33.40014860003475,465.2862847852219,10538,10538
47,-234.61666581509783,0,0.2669709026813507,-36.24496302227121,402.56794389881344,10879,10879
48,577.9643077838737,1,0.2681815028190613,-37.38305810379656,473.1330623626709,10952,10952
49,585.6852530540026,1,0.2694438099861145,-38.301951525962515,353.9964524229912,11025,11025
50,497.4521909958954,1,0.2726024389266968,-39.525155162253576,376.61258770569026,11196,11196
51,330.25413624029056,1,0.2767128050327301,-41.310915338711474,366.3547091371431,11450,11450
