episode,reward,avg_team_return,success,epsilon,ep_avg_loss,buffer_size,steps,collisions,waypoints_visited,greedy_reward,greedy_success,greedy_waypoints_visited
1,394.8199947476387,394.8199947476387,0,0.9992,nan,234,234,0,5,nan,,
2,415.590003490448,415.590003490448,0,0.99840064,nan,468,234,0,5,nan,,
3,315.8400032520294,315.8400032520294,0,0.9976019194879999,nan,702,234,0,4,nan,,
4,599.5199952125549,599.5199952125549,0,0.9968038379524095,nan,936,234,0,7,nan,,
5,605.9400036931038,605.9400036931038,0,0.9960063948820475,nan,1170,234,6,7,nan,,
6,701.7999976277351,701.7999976277351,0,0.9952095897661418,nan,1404,234,4,8,nan,,
7,224.30000388622284,224.30000388622284,0,0.9944134220943289,nan,1638,234,4,3,nan,,
8,615.9700017571449,615.9700017571449,0,0.9936178913566535,nan,1872,234,0,7,nan,,
9,603.8599981665611,603.8599981665611,0,0.9928229970435681,nan,2106,234,0,7,nan,,
10,408.73999708890915,408.73999708890915,0,0.9920287386459332,nan,2340,234,0,5,nan,,
11,496.659994661808,496.659994661808,0,0.9912351156550164,nan,2574,234,0,6,nan,,
12,494.64001232385635,494.64001232385635,0,0.9904421275624924,nan,2808,234,0,6,nan,,
13,333.9900004863739,333.9900004863739,0,0.9896497738604424,nan,3042,234,0,4,nan,,
14,804.199990093708,804.199990093708,0,0.9888580540413541,nan,3276,234,0,9,nan,,
15,515.8999980688095,515.8999980688095,0,0.988066967598121,nan,3510,234,8,6,nan,,
16,314.220002412796,314.220002412796,0,0.9872765140240425,nan,3744,234,0,4,nan,,
17,412.4299975633621,412.4299975633621,0,0.9864866928128232,nan,3978,234,4,5,nan,,
18,508.71998822689056,508.71998822689056,0,0.9856975034585729,nan,4212,234,0,6,nan,,
19,426.4199921488762,426.4199921488762,0,0.984908945455806,nan,4446,234,0,5,nan,,
20,610.1000011563301,610.1000011563301,0,0.9841210182994413,nan,4680,234,0,7,nan,,
21,517.5600071549416,517.5600071549416,0,0.9833337214848017,nan,4914,234,0,6,nan,,
22,513.6399955749512,513.6399955749512,0,0.9825470545076138,nan,5148,234,0,6,nan,,
23,310.46000587940216,310.46000587940216,0,0.9817610168640077,nan,5382,234,0,4,nan,,
24,709.9200120568275,709.9200120568275,0,0.9809756080505165,nan,5616,234,0,8,nan,,
25,123.47000026702881,123.47000026702881,0,0.980190827564076,nan,5850,234,0,2,nan,,
26,129.25000071525574,129.25000071525574,0,0.9794066749020248,nan,6084,234,0,2,nan,,
27,520.8999927043915,520.8999927043915,0,0.9786231495621032,nan,6318,234,0,6,nan,,
28,493.57000374794006,493.57000374794006,0,0.9778402510424534,nan,6552,234,0,6,nan,,
29,395.1499996185303,395.1499996185303,0,0.9770579788416195,nan,6786,234,0,5,nan,,
30,611.1699944138527,611.1699944138527,0,0.9762763324585462,nan,7020,234,0,7,nan,,
31,616.7999947071075,616.7999947071075,0,0.9754953113925793,nan,7254,234,4,7,nan,,
32,501.82000690698624,501.82000690698624,0,0.9747149151434652,nan,7488,234,0,6,nan,,
33,412.0699977874756,412.0699977874756,0,0.9739351432113504,nan,7722,234,0,5,nan,,
34,486.8500010371208,486.8500010371208,0,0.9731559950967813,nan,7956,234,0,6,nan,,
35,623.120001912117,623.120001912117,0,0.9723774703007039,nan,8190,234,0,7,nan,,
36,682.0700051784515,682.0700051784515,0,0.9715995683244633,nan,8424,234,0,8,nan,,
37,612.8400025367737,612.8400025367737,0,0.9708222886698037,nan,8658,234,4,7,nan,,
38,594.7699979543686,594.7699979543686,0,0.9700456308388679,nan,8892,234,10,7,nan,,
39,697.2100098133087,697.2100098133087,0,0.9692695943341968,nan,9127,235,6,8,nan,,
40,697.689998626709,697.689998626709,0,0.9684941786587294,nan,9361,234,0,8,nan,,
