episode,reward,success,policy_loss,value_loss,entropy,learning_rate
1,-403.31095211505885,0,-0.03827805673354305,601.0204414367676,0.8360349953174591,0.0002999625
2,-332.4586310819349,0,-0.025394185880819955,715.2210530598958,0.8323032120863597,0.000299925
3,-321.90509623880354,0,-0.05795020160730928,503.1861122131348,0.8348836302757263,0.0002998875
4,-300.9480563099828,0,-0.03237193223709862,447.1778544108073,0.8326237777868907,0.00029985
5,-212.48446705802183,0,-0.030305631707111994,305.196083577474,0.8258551200230916,0.0002998125
6,-274.72237815157865,0,-0.00351065993309021,322.025740814209,0.8205790936946868,0.00029977499999999995
7,-148.6400827107105,0,-0.028529657423496245,86.10904897054037,0.814477280775706,0.00029973749999999996
8,-148.4691086856232,0,-0.034030789222257836,85.21156616210938,0.8114995340506236,0.00029969999999999997
9,-155.75996695806805,0,-0.03737983144819736,87.04966328938802,0.812345822652181,0.00029966249999999997
10,-513.8279774248972,0,-0.02052223514765501,1360.1011657714844,0.8122363716363907,0.000299625
11,-111.599699974266,0,-0.024590456672012807,354.7352559407552,0.8078713277975719,0.0002995875
12,-198.9853150982321,0,-0.028680893406271935,676.2335428873698,0.8083989063898722,0.00029955
13,-189.1271067855264,0,-0.03833221890575563,139.88121337890624,0.8114429752031962,0.0002995125
14,-218.08272941484717,0,-0.045397376331190266,232.80430755615234,0.8127824703852335,0.00029947499999999995
15,-137.84954668774523,0,-0.061214536676804224,33.04805304209391,0.8097382684548696,0.0002994375
16,-217.7910026265694,0,-0.03210958210596194,240.21448415120443,0.8028915623823801,0.00029939999999999996
17,-57.382642485203725,0,-0.015752093687963983,378.9730911254883,0.8046015659968059,0.00029936249999999996
18,-191.15142155746545,0,-0.026043362108369668,73.70604921976725,0.8074537436167399,0.00029932499999999997
19,-17.934042994281647,0,-0.01829804057876269,440.6124750773112,0.8004890402158101,0.0002992875
20,-285.2777785648621,0,-0.026008837849561435,411.13450724283854,0.7933427075544993,0.00029925
21,-37.92380426003652,0,-0.02125976481474936,396.0603327433268,0.7922305981318156,0.0002992125
22,-213.7460550605227,0,-0.04292696959649523,167.38203938802084,0.7975124617417654,0.00029917499999999994
23,-192.0401019726939,0,-0.05258335121131192,102.39357274373373,0.798021924495697,0.0002991375
24,-111.585225305754,0,-0.03536754973853628,288.0895075480143,0.7933861911296844,0.00029909999999999995
25,-142.10350537199088,0,-0.028398295980878174,43.22800874710083,0.7811657667160035,0.00029906249999999996
26,-180.92052624771708,0,-0.05608167164027691,107.2383041381836,0.7763148287932078,0.00029902499999999996
27,-126.68575932696791,0,-0.028742181540777286,5.981803933779399,0.771754014492035,0.00029898749999999997
28,-123.81139232093447,0,-0.020511107767621675,5.6479923009872435,0.7534742295742035,0.00029895
29,-125.0712159710353,0,-0.047986981955667335,3.2190245906511943,0.7261684040228525,0.0002989125
30,-55.28704674127578,0,-0.03603350759173433,435.4294934590658,0.7202936013539633,0.000298875
31,-10.378879874214277,0,-0.047024501984318096,366.5696706136068,0.7191295623779297,0.0002988375
32,-95.7626701438321,0,-0.027750516310334206,267.47104568481444,0.7185907145341237,0.0002988
33,-55.111680197480084,0,-0.023428770744552217,91.26246178944906,0.7189465920130412,0.00029876249999999995
34,-54.43315113647317,0,-0.02680729916319251,52.93337580362956,0.7190086086591084,0.00029872499999999996
35,-165.37237010056006,0,-0.011902253391842048,179.40063196818033,0.7170984188715617,0.00029868749999999996
36,-52.26962499066162,0,-0.023632893245667218,88.33012364705404,0.7177920758724212,0.00029864999999999997
37,-120.39344558325912,0,-0.013105001486837863,204.79125061035157,0.7178056796391805,0.0002986125
38,-48.33008176450695,0,-0.025527040908734002,28.148963292439777,0.7148047963778178,0.000298575
39,-21.12005802338409,0,-0.019206366688013076,28.77995818456014,0.7052887598673503,0.0002985375
40,-33.80297843660468,0,-0.02083883248269558,10.815569321314493,0.7040161192417145,0.0002985
41,-71.7172307120803,0,-0.03863436219592889,63.5272019704183,0.7038658658663431,0.00029846249999999994
42,-121.9319949054195,0,-0.016078283094490567,186.27110684712727,0.7020668745040893,0.000298425
43,-102.25331481136043,0,-0.035293500901510316,124.11163431803385,0.7009502569834392,0.00029838749999999995
44,-33.45296669522131,0,0.007959990917394558,39.61756289800008,0.7000283638636271,0.00029835
45,-26.238568388596438,0,-0.034250863005096714,22.550862121582032,0.6989530503749848,0.00029831249999999997
46,-58.128714689581955,0,-0.04668239175031583,23.30948324203491,0.6927388648192088,0.00029827499999999997
47,-37.44284112653965,0,-0.02820039742315809,42.25407781600952,0.68374209801356,0.0002982375
48,-13.263618878372348,0,-0.05755459973588586,11.95602011680603,0.6798740863800049,0.0002982
49,-108.4800585483858,0,-0.015361476712860167,111.0761484781901,0.6810461481412252,0.00029816249999999994
50,-35.92780580509386,0,-0.02473974854995807,25.595901934305825,0.683560848236084,0.000298125
51,-34.86481366889602,0,-0.04276553600405653,15.857373332977295,0.6852795581022898,0.00029808749999999995
52,-112.26612736382103,0,-0.008897827162096897,254.4212656656901,0.6788084904352824,0.00029805
53,-34.66774847418336,0,-0.00895433200057596,57.35022729237874,0.6762336055437724,0.00029801249999999996
54,-40.07498803290022,0,-0.03653976209461689,31.9105681737264,0.6720518390337626,0.00029797499999999997
55,-56.49474050222345,0,-0.04477794593355308,17.77893238067627,0.6696083585421244,0.00029793749999999997
56,-13.13336452439301,0,-0.03156426629672448,13.755854058265687,0.6739674667517345,0.0002979
57,-25.73252812832641,0,-0.03316427022218704,6.0738332867622375,0.6726787050565084,0.0002978625
58,-29.776802237825855,0,-0.03213051532705625,25.92127908070882,0.6672446886698405,0.000297825
59,-26.51139979902994,0,-0.03596726212029656,9.976546287536621,0.6638332168261211,0.0002977875
60,-134.54075754356472,0,-0.1100255163386464,388.87388540903726,0.6581907868385315,0.00029775
61,-160.57404457493024,0,-0.04798843370129665,135.74238026936848,0.6565397242705028,0.00029771249999999995
62,-171.45011941950904,0,-0.017365256572763124,90.60354894002279,0.6559925218423207,0.00029767499999999996
63,-183.30546015393764,0,-0.007829189843808612,177.50477256774903,0.6524443328380585,0.00029763749999999996
64,-172.17907424113952,0,-0.05354338623583317,45.67838382720947,0.6530888696511586,0.00029759999999999997
65,-136.45588382095428,0,-0.02938914711897572,24.94879395167033,0.6572670300801595,0.0002975625
66,-189.33145144847407,0,0.007953343167901038,63.07730058034261,0.6582864920298258,0.000297525
67,85.51965973681354,0,0.01618970911949873,1075.904908243815,0.6579953710238139,0.0002974875
68,-148.61089511351776,0,-0.03974918636182944,31.256777715682983,0.6559641420841217,0.00029745
69,-153.0425028501786,0,-0.02063586451113224,29.406697018941244,0.65265966852506,0.0002974125
70,-122.15278790369848,0,-0.023265642874563734,8.534201653798421,0.6571317990620931,0.00029737499999999995
71,-42.74293979672043,0,-0.030538539712627728,486.5597162882487,0.6690733154614766,0.0002973375
72,-148.66402851134683,0,-0.056768990897883974,59.66200354894002,0.6693253695964814,0.00029729999999999996
73,-118.37636760570803,0,-0.032056145214786134,13.363320803642273,0.6718155821164449,0.00029726249999999997
74,-21.198459280702206,0,-0.005767342944939931,518.2970434506734,0.675583173831304,0.000297225
75,-163.6000133665807,0,-0.023555125979085764,54.87692904472351,0.675203013420105,0.0002971875
76,-26.623461269954273,0,-0.020605951423446338,386.0187380472819,0.6738332569599151,0.00029715
77,-173.59785941086537,0,-0.041534371487796304,89.96179237365723,0.6723161061604818,0.0002971125
78,-12.034524381795784,0,-0.004288353895147642,536.7257376352946,0.6704288641611735,0.00029707499999999994
79,-28.720718390935772,0,-0.017862884886562826,351.37030601501465,0.6701670706272125,0.0002970375
80,-192.13086523061327,0,-0.017893295921385288,400.56385650634763,0.6696379631757736,0.00029699999999999996
81,-53.85300735956855,0,-0.021667383844032884,562.2197738647461,0.6695994019508362,0.00029696249999999996
82,-19.805534006002453,0,-0.00869449283927679,368.97138061523435,0.6695443123579026,0.00029692499999999997
83,-20.72695169666561,0,-0.030589160273666493,330.5780517578125,0.6689272820949554,0.00029688749999999997
84,7.733818487944127,0,-0.00726998751051724,180.51285514831542,0.667941227555275,0.00029685
85,-105.38912295085544,0,-0.004676394793204963,208.71478195190429,0.6668006151914596,0.0002968125
86,-163.38802890809436,0,-0.013717152713797986,110.87050952911378,0.6662637412548065,0.00029677499999999994
