episode,reward,avg_team_return,success,epsilon,ep_avg_loss,buffer_size,steps,collisions,waypoints_visited
1,-55.26000452041626,-55.26000452041626,0,0.9992,4.409016621680487,1092,273,13,5
2,154.87000465393066,154.87000465393066,0,0.99840064,3.6188791942422407,2188,274,0,6
3,137.9800010919571,137.9800010919571,0,0.9976019194879999,3.7498710266379423,3220,258,4,5
4,369.44000363349915,369.44000363349915,0,0.9968038379524095,3.7818122015549585,4260,260,4,7
5,499.77999264001846,499.77999264001846,0,0.9960063948820475,4.075550958904881,5328,267,5,9
6,269.89000141620636,269.89000141620636,0,0.9952095897661418,4.047164256958401,6416,272,2,7
7,311.99000495672226,311.99000495672226,0,0.9944134220943289,4.184440620681819,7504,272,0,9
8,307.7600089907646,307.7600089907646,0,0.9936178913566535,4.173781823176964,8524,255,0,6
9,-41.82001203298569,-41.82001203298569,0,0.9928229970435681,4.089710858441139,9556,258,15,4
10,146.25999569892883,146.25999569892883,0,0.9920287386459332,3.9298457962343063,10600,261,0,5
11,-19.699996143579483,-19.699996143579483,0,0.9912351156550164,3.9576816429730357,11708,277,9,5
12,193.75000324845314,193.75000324845314,0,0.9904421275624924,4.009667071029269,12792,271,1,7
13,102.01999413967133,102.01999413967133,0,0.9896497738604424,3.888662399157234,13896,276,5,6
14,-16.96999579668045,-16.96999579668045,0,0.9888580540413541,3.798792788545594,14944,262,4,4
15,45.350004732608795,45.350004732608795,0,0.988066967598121,3.8478009613442334,16036,273,2,5
16,46.5299973487854,46.5299973487854,0,0.9872765140240425,3.7735972085664438,17068,258,6,5
17,58.86999660730362,58.86999660730362,0,0.9864866928128232,3.7347304982580107,18160,273,5,5
18,184.9799970984459,184.9799970984459,0,0.9856975034585729,3.8595647355437723,19236,269,4,7
19,377.2200056016445,377.2200056016445,0,0.984908945455806,3.8080605255378472,20328,273,3,8
20,182.2599929869175,182.2599929869175,0,0.9841210182994413,3.819802502717227,21404,269,0,7
21,342.5300024151802,342.5300024151802,0,0.9833337214848017,3.736860253467634,22432,257,4,7
22,232.66000896692276,232.66000896692276,0,0.9825470545076138,3.8337610986596147,23508,269,12,7
23,-48.870002925395966,-48.870002925395966,0,0.9817610168640077,3.692610073677251,24644,284,6,5
24,146.1399993300438,146.1399993300438,0,0.9809756080505165,3.762219378846953,25680,259,0,5
25,184.09001153707504,184.09001153707504,0,0.980190827564076,3.771542176325223,26748,267,0,6
26,280.71000385284424,280.71000385284424,0,0.9794066749020248,3.705393285787061,27816,267,4,7
27,455.1600069999695,455.1600069999695,0,0.9786231495621032,3.7867668330669404,28856,260,2,8
28,153.77000534534454,153.77000534534454,0,0.9778402510424534,3.781714257654154,29916,265,10,6
29,326.3799994587898,326.3799994587898,0,0.9770579788416195,3.769487507068194,30956,260,10,7
30,296.41000121831894,296.41000121831894,0,0.9762763324585462,3.729114946909249,31980,256,4,7
31,227.5899959206581,227.5899959206581,0,0.9754953113925793,3.812843509186479,33044,266,2,6
32,382.8699907064438,382.8699907064438,0,0.9747149151434652,3.744696582876035,34116,268,8,8
33,313.4900076389313,313.4900076389313,0,0.9739351432113504,3.776757400787294,35144,257,10,7
34,459.70999360084534,459.70999360084534,0,0.9731559950967813,3.8806204888247704,36176,258,0,8
35,351.2700068950653,351.2700068950653,0,0.9723774703007039,3.9795605335595474,37236,265,10,8
36,286.1700013279915,286.1700013279915,0,0.9715995683244633,3.823370477967103,38312,269,7,8
37,180.29999375343323,180.29999375343323,0,0.9708222886698037,3.7380099088856666,39368,264,2,6
38,104.47998976707458,104.47998976707458,0,0.9700456308388679,3.789983712052399,40428,265,11,6
39,122.46998882293701,122.46998882293701,0,0.9692695943341968,3.8336195995410285,41484,264,0,5
40,261.0400035083294,261.0400035083294,0,0.9684941786587294,3.777614971845767,42520,259,0,6
41,462.7900033891201,462.7900033891201,0,0.9677193833158024,3.7759142560458807,43588,267,6,9
42,102.53999865055084,102.53999865055084,0,0.9669452078091497,3.7111111089187565,44632,261,2,5
43,194.40999734401703,194.40999734401703,0,0.9661716516429024,3.764175504663565,45728,274,4,8
44,440.6800020933151,440.6800020933151,0,0.9653987143215881,3.7275422452499507,46764,259,0,8
45,438.79999899864197,438.79999899864197,0,0.9646263953501308,3.8925201613663742,47840,269,2,9
46,416.96000307798386,416.96000307798386,0,0.9638546942338507,3.8598387379443784,48876,259,4,8
47,83.15000456571579,83.15000456571579,0,0.9630836104784636,3.7572141687075296,49956,270,4,5
48,551.6500078141689,551.6500078141689,0,0.9623131435900808,3.742906129858793,51008,263,4,9
49,230.68000304698944,230.68000304698944,0,0.9615432930752087,3.847868681870974,52048,260,0,6
50,79.28000003099442,79.28000003099442,0,0.9607740584407485,3.8044870793819427,53120,268,6,5
51,-22.839996933937073,-22.839996933937073,0,0.9600054391939958,3.7401858154143994,54168,262,5,4
52,277.74999663233757,277.74999663233757,0,0.9592374348426406,3.8698990069183647,55188,255,0,6
53,18.77998834848404,18.77998834848404,0,0.9584700448947664,3.6591081601985986,56292,276,9,5
54,411.3099944591522,411.3099944591522,0,0.9577032688588506,3.6543429090696224,57380,272,0,8
55,43.85999935865402,43.85999935865402,0,0.9569371062437635,3.8332407408777405,58468,272,2,5
56,398.02000081539154,398.02000081539154,0,0.9561715565587685,3.8509391335616434,59532,266,4,8
57,345.36000168323517,345.36000168323517,0,0.9554066193135214,3.775644133798778,60556,256,2,7
58,384.0099969506264,384.0099969506264,0,0.9546422940180707,3.7744036345892633,61624,267,0,8
59,374.4100080728531,374.4100080728531,0,0.9538785801828562,3.722766710344211,62656,258,2,8
60,353.74999141693115,353.74999141693115,0,0.9531154773187099,3.751352959156036,63656,250,0,6
61,163.14999705553055,163.14999705553055,0,0.9523529849368549,3.7563066436694217,64696,260,13,6
62,90.40000253915787,90.40000253915787,0,0.9515911025489054,3.5955261286621387,65732,259,0,5
63,243.44998562335968,243.44998562335968,0,0.9508298296668662,3.646657342104603,66844,278,8,8
64,173.63999819755554,173.63999819755554,0,0.9500691658031327,3.6822874696724477,67920,269,8,6
65,167.52000212669373,167.52000212669373,0,0.9493091104704902,3.7696456044240105,68984,266,0,5
66,316.5699920654297,316.5699920654297,0,0.9485496631821138,3.669505751909424,70028,261,10,8
67,332.0899973511696,332.0899973511696,0,0.9477908234515681,3.7410103069262557,71096,267,0,7
68,288.0199994444847,288.0199994444847,0,0.9470325907928068,3.6589810839470696,72184,272,0,8
69,300.8000022470951,300.8000022470951,0,0.9462749647201725,3.705988016092416,73240,264,2,7
70,328.93999963998795,328.93999963998795,0,0.9455179447483963,3.67817801742976,74324,271,9,8
71,82.10999572277069,82.10999572277069,0,0.9447615303925976,3.746821814310152,75400,269,2,5
72,40.17999851703644,40.17999851703644,0,0.9440057211682835,3.768223308599912,76440,260,0,4
73,80.58998793363571,80.58998793363571,0,0.9432505165913488,3.788903690709008,77520,270,2,5
74,330.0799922943115,330.0799922943115,0,0.9424959161780757,3.6153582914700526,78572,263,0,7
75,164.5900017619133,164.5900017619133,0,0.9417419194451332,3.683664218363059,79576,251,6,5
76,382.5600029826164,382.5600029826164,0,0.940988525909577,3.699483630321778,80628,263,8,8
77,158.65999513864517,158.65999513864517,0,0.9402357350888494,3.715173659054374,81616,247,0,6
78,306.7800045013428,306.7800045013428,0,0.9394835465007783,3.6804974130555697,82636,255,2,6
79,62.20999711751938,62.20999711751938,0,0.9387319596635776,3.6481817715851834,83668,258,14,4
80,95.09999760985374,95.09999760985374,0,0.9379809740958467,3.76942109650579,84712,261,0,5
81,100.93000489473343,100.93000489473343,0,0.93723058931657,3.695249385303921,85792,270,2,5
82,352.84999161958694,352.84999161958694,0,0.9364808048451168,3.7767109018712004,86760,242,6,7
83,275.71000760793686,275.71000760793686,0,0.9357316202012407,3.594131460013213,87840,270,6,7
84,253.88999724388123,253.88999724388123,0,0.9349830349050796,3.6867835317604274,88868,257,0,6
85,493.06000232696533,493.06000232696533,0,0.9342350484771555,3.7028196767996286,89916,262,4,9
86,482.4799953699112,482.4799953699112,0,0.9334876604383738,3.6767985906564826,90972,264,1,9
87,489.0299976468086,489.0299976468086,0,0.9327408703100231,3.8045501076538146,92020,262,11,9
88,387.10998034477234,387.10998034477234,0,0.931994677613775,3.747730109783319,93060,260,13,8
89,195.52999514341354,195.52999514341354,0,0.931249081871684,3.7041457217284357,94128,267,0,6
90,-37.34000074863434,-37.34000074863434,0,0.9305040826061867,3.6835820145077176,95208,270,4,4
91,281.4600088596344,281.4600088596344,0,0.9297596793401017,3.7407631459443467,96220,253,0,6
92,476.7600110769272,476.7600110769272,0,0.9290158715966296,3.721344312348689,97224,251,12,9
93,76.58000129461288,76.58000129461288,0,0.9282726588993523,3.7119451683896187,98272,262,10,5
94,-143.4899983406067,-143.4899983406067,0,0.9275300407722328,3.8366400566488172,99356,271,6,3
95,170.9299955368042,170.9299955368042,0,0.926788016739615,3.6707595244110354,100344,247,0,5
96,428.19999849796295,428.19999849796295,0,0.9260465863262233,3.6963712718650585,101392,262,4,8
97,339.47999665141106,339.47999665141106,0,0.9253057490571622,3.645484210894658,102432,260,6,7
98,375.4199948608875,375.4199948608875,0,0.9245655044579165,3.7344899719411675,103488,264,4,8
99,391.31000024080276,391.31000024080276,0,0.9238258520543502,3.665248164338955,104524,259,11,8
100,256.66999608278275,256.66999608278275,0,0.9230867913727067,3.7435980657584795,105572,262,9,7
101,72.59999299049377,72.59999299049377,0,0.9223483219396085,3.670734426325018,106672,275,0,5
102,299.99999660253525,299.99999660253525,0,0.9216104432820568,3.710722402189717,107728,264,0,7
103,586.8899958729744,586.8899958729744,0,0.920873154927431,3.6477840042114256,108728,250,0,9
104,307.6100027561188,307.6100027561188,0,0.9201364564034891,3.784719703289179,109768,260,8,7
105,443.72000259160995,443.72000259160995,0,0.9194003472383663,3.712515138204281,110808,260,2,8
106,518.7700067162514,518.7700067162514,0,0.9186648269605756,3.6978371986976035,111848,260,0,9
107,105.79999619722366,105.79999619722366,0,0.9179298950990071,3.7136995983657553,112920,268,4,5
108,427.110000371933,427.110000371933,0,0.917195551182928,3.7505525828335537,113948,257,6,8
109,403.68000054359436,403.68000054359436,0,0.9164617947419816,3.712450808745164,114988,260,0,8
110,403.81999829411507,403.81999829411507,0,0.915728625306188,3.689468121343805,116020,258,0,8
111,388.3800038099289,388.3800038099289,0,0.914996042405943,3.7546888014685784,117048,257,5,8
112,364.7600032091141,364.7600032091141,0,0.9142640455720182,3.7388565480013303,118076,257,0,7
113,226.37000384926796,226.37000384926796,0,0.9135326343355606,3.63336921152461,119112,259,4,6
114,138.97999411821365,138.97999411821365,0,0.9128018082280922,3.6652997232708535,120124,253,0,5
115,239.20999497175217,239.20999497175217,0,0.9120715667815097,3.6884313919964957,121144,255,0,6
116,478.070001244545,478.070001244545,0,0.9113419095280845,3.7477692911423834,122140,249,2,8
117,177.65000420808792,177.65000420808792,0,0.910612836000462,3.7786398169606232,123172,258,6,6
118,194.9300101995468,194.9300101995468,0,0.9098843457316615,3.691746254522638,124168,249,6,6
119,61.380008548498154,61.380008548498154,0,0.9091564382550762,3.677145243640915,125172,251,2,4
120,197.2000114917755,197.2000114917755,0,0.9084291131044722,3.736108262287943,126236,266,4,6
